Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,Ambala,71.5,56,63,67.5,68.5,69,71.5,56,63,67.5,68.5,26
2020,Bhiwani,79,67.5,71,71.5,70,75.5,79,67.5,71,71.5,70,27
2020,Faridabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Gurugram,76,73.5,80.5,80.5,84,82.5,76,73.5,80.5,80.5,84,27
2020,Hisar,71.5,56,67.5,69,69.5,76,71.5,56,67.5,69,69.5,29
2020,Jhajar,76,70,79,79,79.5,86,85,84,80,75,78.5,74
2020,Jind,71,70.5,78,78,79.5,80,82.5,82.5,78,73,77.5,68
2020,kaithal,78.5,68,56.5,57,55.5,63,83.5,84,84.5,77.5,84,75
2020,karnal,72.5,53,45,62.5,68.5,70.5,87.5,89,71.5,78,73,71.5
2020,kurushetra,66.5,46,26,36,35,54.5,83,85.5,79.5,69.5,68,58
2020,mahendragargh,72,53,37.5,47,47.5,61,83.5,86.5,85.5,77.5,72,62.5
2020,Nuh,74,69,47.8,49.8,44,61.3,87,89,85.3,79.8,75.3,72
2020,Palwal,81,69,48.5,47,41,60.5,87,90.5,84.5,78.5,77,70
2020,panchkula,66,61,49,45.5,40.5,60.5,84,83,83,77,77.5,73
2020,panipat,72.5,69.3,57.3,40.5,36.5,56.5,81,81,81,71.5,70,60.5
2020,rewari,83,73,66,56.5,72.5,77.5,NA,NA,NA,NA,NA,NA
2020,rohtak,79,68,55.5,58,NA,89,NA,89,87,84,81.5,76.5
2020,sirsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,sonipat,72,62.5,47.5,48.5,45.5,60.7,82.5,87.5,81,78.5,73.5,66.5
2020,yamunanagar,60,NA,NA,46,41,84,NA,90,NA,NA,NA,NA
2020,Charkhi dadri,40,NA,43,NA,50,NA,NA,NA,NA,NA,80,55
2020,Fatehbad,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
