Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,Ambala,62,59,60,67,65,76,81,83,81,69,69,63
2014,Bhiwani,78,82,73,72,72,79,84,88,84,80,80,76
2014,Faridabad,78,79,81,76,76,82,84,90,88,83,84,82
2014,Gurugram,81,88,77,79,79,85,87,91,88,81,79,75
2014,Hisar,72,69,72,73,74,85,85,90,87,81,78,70
2014,Jhajar,78,69,74,81,78,85,83,85,83,81,85,83
2014,Jind,74,78,80,84,78,85,85,86,83,77,79,71
2014,kaithal,63,47,53,59,71,48,67,75,69,65,58,53
2014,karnal,71,56,58,69,71,82,86,90,87,76,77,71
2014,kurushetra,69,57,62,54,62,68,85,88,82,75,73,69
2014,mahendragargh,66,53,56,58,70,76,84,88,88,77,79,69
2014,Nuh,85,81,70,60,65,73,86,89,87,85,87,83
2014,Palwal,65,62,48,43,54,71,NA,89,81,72,75,70
2014,panchkula,NA,NA,NA,NA,65,68,87,89,81,77,80,69
2014,panipat,52,50,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,rewari,60,49,57,50,55,70,83,85,76,70,73,61
2014,rohtak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,sirsa,85,76,69,64,68,78,85,88,89,85,87,86
2014,sonipat,NA,52,48,73,75,55,NA,NA,NA,NA,NA,NA
2014,yamunanagar,NA,46,NA,44,70,NA,NA,NA,NA,NA,NA,NA
2014,Charkhi dadri,NA,75,NA,75,NA,NA,80,NA,87,NA,NA,74
2014,Fatehbad,79,NA,NA,NA,NA,NA,NA,87,NA,NA,84,NA
