"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2010,"Ambala",70,75,69,67,58,73,74,81,83,69,68,63
"2",2010,"Bhiwani",73.6,84,82,76,70,76.3333333333333,85,86.4444444444444,85.3,93,69,73.5555555555556
"3",2010,"Faridabad",78,87,79,73,66,73,76,85,88,84,7,81
"4",2010,"Gurugram",81,82,75,80,75,76,75,86,90,80,82,76
"5",2010,"Hisar",71,82,77,73,69,82,82,89,87,80,73,74
"6",2010,"Jhajar",83,87,77,82,83,77,78,87,83,84,81,81
"7",2010,"Jind",77,83,79,86,76,82,80,87,86,81,77,76
"8",2010,"kaithal",73.6,67,57,61,75,76.3333333333333,79.4545454545455,86.4444444444444,85.3,71,69,73.5555555555556
"9",2010,"karnal",73.6,81,75,76,58.8823529411765,76.3333333333333,79.4545454545455,86.4444444444444,85.3,93,69,73.5555555555556
"10",2010,"kurushetra",60,71,44,30,41,71,78,90,86,77,66,69
"11",2010,"mahendragargh",67,80,59,50,49,71,76,86,85,79,68,68
"12",2010,"Nuh",73.6,68,63,43,58,76.3333333333333,90,86.4444444444444,85.3,70,69,73.5555555555556
"13",2010,"Palwal",73.6,72,58,46,38,76.3333333333333,79.4545454545455,86.4444444444444,85.3,79.9411764705882,69,73.5555555555556
"14",2010,"panchkula",73.6,37,42,29,26,76.3333333333333,79.4545454545455,86.4444444444444,85.3,64,69,73.5555555555556
"15",2010,"panipat",73.6,75,55,47,45,76.3333333333333,79.4545454545455,86.4444444444444,85.3,86,69,73.5555555555556
"16",2010,"rewari",73.6,75.7222222222222,66.6111111111111,61.6111111111111,58.8823529411765,76.3333333333333,79.4545454545455,86.4444444444444,85.3,85,69,73.5555555555556
"17",2010,"rohtak",73.6,86,74,70,58,76.3333333333333,79.4545454545455,86.4444444444444,85.3,85,69,73.5555555555556
"18",2010,"sirsa",73.6,71,60,45,40,76.3333333333333,79.4545454545455,86.4444444444444,85.3,79.9411764705882,69,73.5555555555556
"19",2010,"sonipat",70,75.7222222222222,74,61.6111111111111,58.8823529411765,82,79.4545454545455,86.4444444444444,78,79.9411764705882,84,73.5555555555556
"20",2010,"yamunanagar",73.6,75.7222222222222,66.6111111111111,61.6111111111111,74,76.3333333333333,79.4545454545455,86.4444444444444,85.3,78,69,73.5555555555556
"21",2010,"Charkhi dadri",73.6,75,66.6111111111111,75,58.8823529411765,76.3333333333333,80,86.4444444444444,87,79.9411764705882,69,74
"22",2010,"Fatehbad",79,75.7222222222222,66.6111111111111,61.6111111111111,58.8823529411765,76.3333333333333,79.4545454545455,87,85.3,79.9411764705882,84,73.5555555555556
