Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,Ambala,66,68,72,69,69,78,82,81,81,68,62,73
2016,Bhiwani,83,85,83,79,73,85,87,88,88,82,79,89
2016,Faridabad,86,86,83,77,73,84,88,89,88,85,77,89
2016,Gurugram,85,87,87,84,82,87,88,88,84,79,78,89
2016,Hisar,77,81,81,76,76,87,90,90,88,79,73,86
2016,Jhajar,85,88,79,78,78,84,86,85,81,79,77,83
2016,Jind,76,81,81,80,79,84,85,85,81,78,74,82
2016,kaithal,85,79,81,69,58,70,76,84,81,77,75,81
2016,karnal,69,67,69,69,NA,NA,NA,88,88,80,75,80
2016,kurushetra,72,67,57,48,47,80,87,87,83,75,72,73
2016,mahendragargh,74,72,66,62,61,85,86,90,88,79,74,82
2016,Nuh,87,75,70,59,51,82,90,88,85,80,80,86
2016,Palwal,81,67,55,51,46,80,90,85,84,77,74,76
2016,panchkula,78,69,67,54,51,83,89,90,87,74,77,79
2016,panipat,66,68,54,47,43,70,86,85,81,77,75,74
2016,rewari,68,67,55,49,44,74,80,83,80,76,72,78
2016,rohtak,73,70,75,68,66,89,91,87,88,88,87,79
2016,sirsa,84,84,72,70,59,85,89,94,92,91,91,93
2016,sonipat,NA,51,44,43,34,71,73,81,76,60,54,52
2016,yamunanagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Charkhi dadri,89,50,NA,NA,57,75,90,NA,NA,65,85,55
2016,Fatehbad,91,80,NA,NA,82,76,92,85,83,89,90,78
