"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2016,"Ambala",66,68,72,69,69,78,82,81,81,68,62,73
"2",2016,"Bhiwani",83,85,83,79,73,85,87,88,88,82,79,89
"3",2016,"Faridabad",86,86,83,77,73,84,88,89,88,85,77,89
"4",2016,"Gurugram",85,87,87,84,82,87,88,88,84,79,78,89
"5",2016,"Hisar",77,81,81,76,76,87,90,90,88,79,73,86
"6",2016,"Jhajar",85,88,79,78,78,84,86,85,81,79,77,83
"7",2016,"Jind",76,81,81,80,79,84,85,85,81,78,74,82
"8",2016,"kaithal",85,79,81,69,58,70,76,84,81,77,75,81
"9",2016,"karnal",69,67,69,69,61.45,80.45,86.25,88,88,80,75,80
"10",2016,"kurushetra",72,67,57,48,47,80,87,87,83,75,72,73
"11",2016,"mahendragargh",74,72,66,62,61,85,86,90,88,79,74,82
"12",2016,"Nuh",87,75,70,59,51,82,90,88,85,80,80,86
"13",2016,"Palwal",81,67,55,51,46,80,90,85,84,77,74,76
"14",2016,"panchkula",78,69,67,54,51,83,89,90,87,74,77,79
"15",2016,"panipat",66,68,54,47,43,70,86,85,81,77,75,74
"16",2016,"rewari",68,67,55,49,44,74,80,83,80,76,72,78
"17",2016,"rohtak",73,70,75,68,66,89,91,87,88,88,87,79
"18",2016,"sirsa",84,84,72,70,59,85,89,94,92,91,91,93
"19",2016,"sonipat",78.75,51,44,43,34,71,73,81,76,60,54,52
"20",2016,"yamunanagar",78.75,73.4285714285714,70.0526315789474,64.8421052631579,61.45,80.45,86.25,86.65,84.35,78,76.2380952380952,78.9047619047619
"21",2016,"Charkhi dadri",89,50,70.0526315789474,64.8421052631579,57,75,90,86.65,84.35,65,85,55
"22",2016,"Fatehbad",91,80,70.0526315789474,64.8421052631579,82,76,92,85,83,89,90,78
