"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2009,"Ambala",78,63,72,70,72,79,88,83,78,76,76,63
"2",2009,"Bhiwani",91,80,86,75,75,86,93,89,83,77,90,90
"3",2009,"Faridabad",91,83,83,75,71,82,89,86,79,84,85,83
"4",2009,"Gurugram",88,86,82,83,79,83,90,87,81,82,89,78
"5",2009,"Hisar",89,81,80,71,71,83,94,91,85,84,85,73
"6",2009,"Jhajar",91,82,80,86,76,85,88,86,84,85,88,78
"7",2009,"Jind",85,84,81,84,83,85,92,90,84,82,86,74
"8",2009,"kaithal",89,50,70.4615384615385,67.9230769230769,57,75,90,87.0714285714286,82.0714285714286,65,85,55
"9",2009,"karnal",91,80,70.4615384615385,67.9230769230769,82,76,92,85,83,89,90,78
"10",2009,"kurushetra",78,61,37,42,48,80,87,85,81,79,73,69
"11",2009,"mahendragargh",77,67,59,43,62,80,87,87,80,82,78,61
"12",2009,"Nuh",83,68,61,66,50,82,85,87,83,82,82,76
"13",2009,"Palwal",60,74.1428571428571,70.4615384615385,46,41,84,88.9285714285714,90,82.0714285714286,79.6666666666667,83.75,72.3333333333333
"14",2009,"panchkula",40,74.1428571428571,43,67.9230769230769,50,81.7333333333333,88.9285714285714,87.0714285714286,82.0714285714286,79.6666666666667,80,55
"15",2009,"panipat",80.4705882352941,74.1428571428571,70.4615384615385,67.9230769230769,42,81.7333333333333,88.9285714285714,87.0714285714286,82.0714285714286,79.6666666666667,83.75,72.3333333333333
"16",2009,"rewari",80.4705882352941,74.1428571428571,70.4615384615385,67.9230769230769,65,81.7333333333333,88.9285714285714,87.0714285714286,82.0714285714286,79.6666666666667,83.75,72.3333333333333
"17",2009,"rohtak",88,78,78,67,61,84,90,86,83,85,85,78
"18",2009,"sirsa",80.4705882352941,74.1428571428571,70.4615384615385,67.9230769230769,43,81.7333333333333,88.9285714285714,87.0714285714286,82.0714285714286,65,83.75,72.3333333333333
"19",2009,"sonipat",70,74.1428571428571,74,67.9230769230769,63.2631578947368,82,88.9285714285714,87.0714285714286,78,79.6666666666667,84,72.3333333333333
"20",2009,"yamunanagar",80.4705882352941,74.1428571428571,70.4615384615385,67.9230769230769,74,81.7333333333333,88.9285714285714,87.0714285714286,82.0714285714286,78,83.75,72.3333333333333
"21",2009,"Charkhi dadri",80.4705882352941,75,70.4615384615385,75,63.2631578947368,81.7333333333333,80,87.0714285714286,87,79.6666666666667,83.75,74
"22",2009,"Fatehbad",79,74.1428571428571,70.4615384615385,67.9230769230769,63.2631578947368,81.7333333333333,88.9285714285714,87,82.0714285714286,79.6666666666667,84,72.3333333333333
