Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,Ambala,63.5,61,63.5,68,72.5,76.5,75.5,82,81,71,65.5,63
2019,Bhiwani,74.5,71.5,70.5,72.5,76.5,84.5,83,87.5,87.5,78.5,75,71.5
2019,Faridabad,69,68.5,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Gurugram,76.5,75.5,77,77.5,80.5,84,81,83.5,83,75,70,71.5
2019,Hisar,65,66,65,67,72,83.5,88,92.5,90.5,77.5,64.5,62.5
2019,Jhajar,77,76,75.5,78,81,81.5,80.5,84,79,70,71,71
2019,Jind,70,74,76,75.5,80,79,77.5,82,78.5,67.5,64,64.5
2019,kaithal,62.5,68,62.5,64.5,64.5,75.5,83.5,88.5,86,76,74,74
2019,karnal,85,82.5,66,64.5,74,82,80.5,89,85.5,73,65.5,63.5
2019,kurushetra,47.5,42,33,40.5,40.5,65.5,76.5,85.5,84,65,56.5,56
2019,mahendragargh,54.5,54.5,49.5,59.5,62,78.5,81,88.5,88,72.5,63,63.5
2019,Nuh,69.5,65,53,55,50,68,80,87,88,76,73.5,74.5
2019,Palwal,68.5,66.5,47.5,53,51.5,70.5,82,89,NA,NA,NA,NA
2019,panchkula,65,62,50.5,54.5,49.5,68.5,82,87,89,73.5,68,64.5
2019,panipat,61.5,59,42.5,49,51.5,67.5,79,85.5,86.5,70,67.5,65.5
2019,rewari,61.5,67,49,59.5,49.5,71,83.5,89,91.5,75,72,70
2019,rohtak,87.5,83,76,81.5,72.5,NA,NA,NA,NA,NA,NA,NA
2019,sirsa,72,69,59,64,56.5,74.5,81.5,87.5,88.5,80,76.5,74.5
2019,sonipat,54.5,66,39,46,47,64,71.5,77.5,78,63.5,58.5,59.5
2019,yamunanagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Charkhi dadri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Fatehbad,NA,NA,NA,NA,43,NA,NA,NA,NA,65,NA,NA
