"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2014,"Ambala",62,59,60,67,65,76,81,83,81,69,69,63
"2",2014,"Bhiwani",78,82,73,72,72,79,84,88,84,80,80,76
"3",2014,"Faridabad",78,79,81,76,76,82,84,90,88,83,84,82
"4",2014,"Gurugram",81,88,77,79,79,85,87,91,88,81,79,75
"5",2014,"Hisar",72,69,72,73,74,85,85,90,87,81,78,70
"6",2014,"Jhajar",78,69,74,81,78,85,83,85,83,81,85,83
"7",2014,"Jind",74,78,80,84,78,85,85,86,83,77,79,71
"8",2014,"kaithal",63,47,53,59,71,48,67,75,69,65,58,53
"9",2014,"karnal",71,56,58,69,71,82,86,90,87,76,77,71
"10",2014,"kurushetra",69,57,62,54,62,68,85,88,82,75,73,69
"11",2014,"mahendragargh",66,53,56,58,70,76,84,88,88,77,79,69
"12",2014,"Nuh",85,81,70,60,65,73,86,89,87,85,87,83
"13",2014,"Palwal",65,62,48,43,54,71,83.25,89,81,72,75,70
"14",2014,"panchkula",71.6470588235294,64.6315789473684,64.1176470588235,65.6111111111111,65,68,87,89,81,77,80,69
"15",2014,"panipat",52,50,52,65.6111111111111,69.3333333333333,74.4705882352941,83.25,87.1176470588235,83.5882352941177,77.125,78.0588235294118,72.0588235294118
"16",2014,"rewari",60,49,57,50,55,70,83,85,76,70,73,61
"17",2014,"rohtak",71.6470588235294,64.6315789473684,64.1176470588235,65.6111111111111,69.3333333333333,74.4705882352941,83.25,87.1176470588235,83.5882352941177,77.125,78.0588235294118,72.0588235294118
"18",2014,"sirsa",85,76,69,64,68,78,85,88,89,85,87,86
"19",2014,"sonipat",71.6470588235294,52,48,73,75,55,83.25,87.1176470588235,83.5882352941177,77.125,78.0588235294118,72.0588235294118
"20",2014,"yamunanagar",71.6470588235294,46,64.1176470588235,44,70,74.4705882352941,83.25,87.1176470588235,83.5882352941177,77.125,78.0588235294118,72.0588235294118
"21",2014,"Charkhi dadri",71.6470588235294,75,64.1176470588235,75,69.3333333333333,74.4705882352941,80,87.1176470588235,87,77.125,78.0588235294118,74
"22",2014,"Fatehbad",79,64.6315789473684,64.1176470588235,65.6111111111111,69.3333333333333,74.4705882352941,83.25,87,83.5882352941177,77.125,84,72.0588235294118
