"","Name.of.the.Station","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Ambala",28,17,31,18,33,22,36,24,35,25,32,26,31,25,33,26,33,25,32,24,30,21,30,16
"2","Bhiwani",29,18,30,17,31,21,38,25,37,26,32,25,29,25,33,25,33,25,31,24,30,22,30,17
"3","Faridabad",30,16,34,18,36,22,38,24,38,25,33,24,31,23,33,24,35,24,34,23,32,20,33,15
"4","Gurugram",28,19,30,20,32,25,32,26,33,27,32,27,30,25,32,26,33,26,32,26,30,23,30,18
"5","Hisar",29,17,33,20,36,23,38,26,40,26,34,26,31,25,32,26,33,25,33,24,31,22,31,15
"6","Jhajar",27,19,31,21,31,24,30,25,33,26,32,25,31,25,32,25,34,24,33,22,30,20,30,15
"7","Jind",27,20,30,22,31,26,32,27,33,28,32,27,31,27,32,27,33,27,33,26,30,23,29,19
"8","kaithal",30,15,30,10,33.5714285714286,21.9333333333333,39,24.1666666666667,40,24,27,21,30.5333333333333,22,32.5,24.5714285714286,33.5,23.9230769230769,34,22,29,19,30.1538461538462,14
"9","karnal",27,15,25,13,33.5714285714286,21.9333333333333,36.6875,24.1666666666667,37,25,34,25,32,25,33,27,35,25,31,23,29,20,28,13
"10","kurushetra",28,14,31,17,36,20,40,25,42,27,34,25,32,25,34,26,36,24,34,23,33,19,32,13
"11","mahendragargh",27,12,29,14,33,18,37,22,37,24,31,23,30,24,31,24,31,22,30,21,28,16,29,11
"12","Nuh",29,13,32,15,37,20,40,24,42,22,34,20,30,23,33,24,34,22,34,21,32,15,30,8
"13","Palwal",30,12,29.9333333333333,16.6,33.5714285714286,21.9333333333333,43,26,42,21,35,19,30.5333333333333,24.0714285714286,34,20,33.5,23.9230769230769,33,17,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"14","panchkula",28,13,29.9333333333333,16.6,38,24,42,24.1666666666667,42,23,40,23.8571428571429,30.5333333333333,24.0714285714286,32.5,24.5714285714286,33.5,23.9230769230769,32.9333333333333,21.8125,29,15,32,14
"15","panipat",28.4444444444444,15.8235294117647,29.9333333333333,16.6,33.5714285714286,21.9333333333333,41,24.1666666666667,43,24.9444444444444,37,23.8571428571429,32,24.0714285714286,34,24.5714285714286,33.5,23.9230769230769,32.9333333333333,21.8125,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"16","rewari",28.4444444444444,15.8235294117647,29.9333333333333,16.6,33.5714285714286,21.9333333333333,36.6875,24.1666666666667,38.3888888888889,24.9444444444444,33.7058823529412,23.8571428571429,30.5333333333333,24.0714285714286,32.5,24.5714285714286,33.5,23.9230769230769,32.9333333333333,21.8125,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"17","rohtak",28,7,31,7,35,11,38,16,39,21,32,21,29,19,29,19,32,16,31,15,28,11,28,2
"18","sirsa",30,15.8235294117647,29.9333333333333,16.6,33.5714285714286,25,36.6875,24.1666666666667,43,28,42,23.8571428571429,30,24.0714285714286,32.5,24.5714285714286,33.5,23.9230769230769,39,19,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"19","sonipat",28.4444444444444,20,29.9333333333333,19,30,21.9333333333333,36.6875,24.1666666666667,38.3888888888889,24.9444444444444,33.7058823529412,23.8571428571429,30.5333333333333,24.0714285714286,32.5,24.5714285714286,33.5,23.9230769230769,32.9333333333333,21.8125,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"20","yamunanagar",29,15.8235294117647,27,16.6,33.5714285714286,24,36.6875,24.1666666666667,38.3888888888889,24.9444444444444,33.7058823529412,23.8571428571429,30.5333333333333,24.0714285714286,32.5,24.5714285714286,33.5,23.9230769230769,32.9333333333333,21.8125,30.0714285714286,15.8235294117647,30.1538461538462,16
"21","Charkhi dadri",28.4444444444444,22,29.9333333333333,16.6,31,21.9333333333333,23,24.1666666666667,38.3888888888889,24,33.7058823529412,23.8571428571429,29,24.0714285714286,32.5,25,33.5,26,32.9333333333333,21.8125,30.0714285714286,15.8235294117647,30.1538461538462,13.9375
"22","Fatehbad",28,15.8235294117647,25,18,33.5714285714286,24,36.6875,24.1666666666667,35,27,33.7058823529412,23.8571428571429,30.5333333333333,24,32.5,24.5714285714286,33.5,23.9230769230769,32.9333333333333,19,30.0714285714286,18,30.1538461538462,17
